"","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG14624",29.0907317190728,7.19065188376565,20.2713727720216,0.389948946082302,0,11.5659943748427,8.40153417714971,0,1.69475440813769
"CG14625",558.380433829981,108.578843444861,165.28965491033,15.9879067893744,0,0,3.87763115868448,13.3820713685965,19.4896756935835
"CG14626",4.04037940542678,0,0,4.28943840690532,61.9852548814667,7.71066291656183,7.10899045758821,5.35282854743859,9.32114924475732
"CG14627",123.63560980606,129.431733907782,28.0680546074145,0.389948946082302,0,3.85533145828091,0.646271859780747,8.02924282115788,16.9475440813769
"CG14628",22.62612467039,4.31439113025939,0,31.1959156865841,35.6415215568434,0,0,99.0273281276139,170.322818017838
"CG14629",2580.18628830554,2032.07822235217,2006.0862362466,1683.4096002373,5941.28668038858,1742.60981914297,1326.14985627009,2315.09834676719,1571.03733634364
"CG1463",840.39891632877,867.192617182137,667.395965109634,817.722939934587,495.107223365715,431.797123327462,497.629332031175,139.173542233403,159.306914364943
"CG14630",273.12964780685,332.208117029973,314.985946149874,348.224408851495,3168.99615581498,424.086460410901,325.074745469716,578.105483123368,371.151215382155
"CG14631",6.46460704868285,0,3.11867273415717,15.5979578432921,23.24447058055,0,2.58508743912299,181.996170612912,237.265617139277
"CG14634",0,0,3.11867273415717,0,0.774815686018334,0,2.58508743912299,10.7056570948772,24.5739389179966
"CG14635",0,0,49.8987637465147,7.01908102948143,0,0,0,90.998085306456,57.6216498766816
"CG14636",109.898319827608,58.2442802585017,96.6788547588722,10.1386725981398,89.8786195781267,57.8299718742137,72.3824482954436,109.732985222491,98.2957556719863
"CG14641",1347.87056965037,1167.04280073516,1125.84085703074,1406.93579746494,1632.53665044063,1545.98791477065,1552.99127905313,840.394081947859,812.634738702025
"CG14642",115.554850995206,109.297908633238,96.6788547588722,85.3988191920241,485.034619447477,7.71066291656183,31.0210492694758,227.49521326614,195.744134139904
"CG14644",134.948672141254,40.9867157374642,138.780936669994,135.702233236641,71.2830431136867,15.4213258331237,3.87763115868448,1100.00626649863,1310.04515749044
"CG14645",1074.74092184352,1768.90036340635,2494.15851914219,3231.89686513012,103.825301926457,4302.5499074415,3749.66933044789,5545.53037514638,5289.32850779775
"CG14646",408.078319948105,419.215004823537,271.324527871674,411.006189170746,443.969388088505,427.941791869182,380.007853551079,251.582941729614,313.529565505474
"CG14647",127.675989211486,166.823123703363,58.4751137654469,201.993554070632,288.23143519882,967.68819602851,703.143783441452,468.372497900877,516.900094481997
"CG14650",6387.03176409866,5917.18743515075,4832.38340157653,3343.81221265574,2663.81632853103,2428.85881871698,2344.67430728455,1474.70426481933,1593.06914364943
"CG14651",47.676476984036,12.9431733907782,67.8311319679184,89.2983086528471,44.9393097890634,0,1.93881557934224,703.896953988174,721.965377866658
"CG14655",273.12964780685,143.813037675313,509.902992034697,189.515187795999,347.117427336213,46.263977499371,93.0631478084275,139.173542233403,262.686933261343
"CG14657",3109.47599041645,3446.47944788887,3705.76287636225,1565.64501852044,1507.79132499168,1110.3354599849,1012.06173241665,730.661096725367,667.733236806252
"CG14658",236.766233158009,420.65313520029,722.752406140923,265.555232282047,81.355647031925,0,0,1142.82889487814,1245.64448998121
"CG14659",0,0,10.1356863860108,7.01908102948143,0,0,0,56.2046997481052,42.3688602034424
"CG14661",437.977127548263,82.6924966633049,483.394273794361,547.488320299552,229.345443061427,848.172920821801,575.181955204865,1383.70617951288,977.025916291381
"CG14662",37.1714905299264,42.4248461142173,18.712036404943,81.4993297312011,3.09926274407333,15.4213258331237,17.4493402140802,235.524456087298,225.402336282313
"CG14664",47.676476984036,0,14.0340273037073,1.94974473041151,10.8474196042567,0,3.23135929890373,0,7.62639483661963
