"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CG31038",242.239639923223,-0.0446133144535479,0.232892597261479,-0.191561754122474,0.848085503400885,0.942253555105857
"CG3104",341.236916231028,0.0624925558826169,0.219545417949185,0.284645229521853,0.775915955846908,0.914163454206936
"CG31041",8.69304652754782,-0.14737322720819,1.13121127963408,-0.130279135172575,0.896345587091209,0.958977864886228
"CG31050",5.75647709436253,-1.8453092562187,1.25114631991777,-1.47489484390601,0.140240816769335,0.831407928525684
"CG31051",134.074690088289,-0.0596430629643104,0.440459111009774,-0.13541112324269,0.892286830057933,0.958977864886228
"CG31053",11.7491906603993,-0.514894218345683,1.0574314866341,-0.486929153192361,0.626308538291037,0.855671413238115
"CG31055",27.5286963165126,-0.633307137864788,0.973623029329564,-0.650464418760599,0.515392278051131,0.831618050232817
"CG3106",27.9213551118016,-1.13060143903109,0.902791474934309,-1.25233951629124,0.210446175497546,0.831407928525684
"CG31064",905.75771527118,0.410957905721624,0.283125357607998,1.4515051184169,0.146639258019591,0.831407928525684
"CG31068",32.8080332823592,-1.04203466472875,0.968280176639631,-1.0761706062651,0.281850962941312,0.831407928525684
"CG3107",417.552753670282,-0.246932008419687,0.262316758826575,-0.941350486047062,0.346525278582665,0.831407928525684
"CG31075",60.3752252871534,-0.154345210675645,0.602819024596558,-0.256039050491052,0.797920684113473,0.923673357077327
"CG31076",7.97391382487357,-1.85367458406059,1.04754490995875,-1.76954187494795,0.0768034890640042,0.831407928525684
"CG31077",261.171154778948,-1.17054582955571,1.2747265081717,-0.918272132925661,0.35847641282371,0.831407928525684
"CG3108",50.3634231907049,-1.46779119905872,0.976668102036906,-1.50285567430485,0.132876265440084,0.831407928525684
"CG31086",0,NA,NA,NA,NA,NA
"CG31087",19.4990534000596,-1.04437062723048,1.00191819272313,-1.04237115845952,0.29723963286819,0.831407928525684
"CG31088",8.34684600206488,-1.38599475068809,1.0725407870512,-1.29225365358709,0.19626931642166,0.831407928525684
