"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"mir-4968",7,10,11,0,16,8,5,13,30
"CG7394",435,159,44,615,545,120,143,224,195
"CG33267",35,42,12,62,23,5,11,14,10
"CG33490",107,64,37,0,0,0,0,0,5
"CG33489",62,72,41,12,0,0,4,3,4
"CG33271",9,14,5,0,0,0,0,0,0
"CG33270",11,14,5,0,0,0,0,0,0
"CG43390",7,6,2,0,0,0,0,0,0
"CG43391",16,13,9,0,0,1,0,0,0
"CG33269",19,28,4,0,1,0,0,0,0
"CG32086",80,53,15,0,3,0,0,0,0
"rt",603,317,109,1295,1037,186,267,296,622
"CG7377",9,21,4,1,0,0,0,0,0
"CG33268",3,3,2,0,0,0,3,0,0
"CR45672",0,0,0,0,0,0,0,0,0
"CR45442",0,0,0,0,0,0,0,0,0
"CR45671",0,0,0,0,0,0,0,0,0
"CR45443",0,0,0,0,0,0,0,0,0
"CG7368",171,116,32,81,41,4,18,36,38
"CG14137",9,3,1,1,0,0,4,0,0
"CG6091",1644,700,261,3448,2983,698,840,1277,2079
"CG42832",22,19,5,0,0,0,4,0,0
"Muc68Ca",207,168,46,592,359,123,18,18,26
"CG6084",3425,1147,494,7655,8438,1600,1703,2775,4003
"CG6083",88,42,19,72,38,14,22,29,15
"PCID2",126,101,20,363,268,30,68,54,165
"CG18815",1715,734,175,3008,2647,574,800,1497,1372
"mir-3642",0,0,0,0,0,0,0,0,0
"CG32091",837,360,130,495,606,121,441,537,851
"CR45158",33,35,4,16,0,0,0,0,0
"CG6071",145,111,44,51,17,10,14,0,5
"RIOK1",888,387,141,1434,1445,300,398,611,1004
"CG7339",326,125,53,275,310,48,94,133,171
"CG32085",350,173,63,323,227,75,79,114,135
"mir-274",0,9,1,0,0,0,0,0,0
"TfIIEalpha",870,374,137,2681,2579,529,524,785,1139
"Sug",1409,585,236,1777,1855,399,421,920,999
"Pallidin",196,149,22,245,254,48,90,136,152
"CG14135",223,114,38,312,319,35,79,109,164
"CR43887",17,3,9,73,0,0,0,0,0
"CG11652",566,252,80,1366,1159,207,241,398,728
"CG6053",113,59,20,0,9,0,5,5,1
"CG11658",421,238,64,811,524,107,128,217,329
"mtTFB1",0,0,0,0,0,0,0,0,0
"Ccdc56",0,0,0,0,0,0,0,0,0
"crim",391,187,53,749,907,185,210,307,515
"CG14132",145,72,44,191,108,60,51,70,63
"Bmcp",557,176,90,1082,1065,174,229,248,538
"CG32088",137,140,39,5,1,4,15,0,14
"CG32087",76,62,17,0,0,0,1,0,0
"CG6024",471,215,98,401,226,53,52,89,150
