"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"mir-4954",40,27,5,27,19,3,5,11
"usp",1649,727,205,3963,4087,675,986,1371
"CG4313",373,220,69,325,271,58,72,123
"CG4325",143,59,26,92,112,43,37,53
"moody",960,344,131,1117,790,237,295,460
"Sik2",471,262,87,240,205,57,118,127
"CR44896",59,29,9,0,0,0,3,0
"CG4281",1547,753,210,3903,3775,696,937,1335
"CG14054",36,46,27,13,2,0,5,0
"CR44381",71,41,12,44,97,2,13,20
"CG4199",1113,557,145,1543,1770,371,518,769
"CG4194",94,47,22,51,53,3,20,17
"CR44382",30,41,19,80,41,20,7,28
"CG4061",292,175,64,466,432,54,126,176
"CG4045",561,258,85,835,719,227,273,495
"CG4025",132,53,33,133,72,21,31,51
"CG16903",1288,514,145,2321,1927,446,586,932
"Unc-76",1369,549,202,2176,2432,503,603,751
"csw",5846,2318,762,10760,9257,2172,2410,4158
"snoRNA:Me18S-C1024",25,5,1,11,2,0,1,9
"ph-d",1042,558,151,2609,2206,428,491,842
"ph-p",833,415,150,886,628,180,318,511
"CG3835",1810,618,209,2209,2042,463,569,1006
"Pgd",2947,977,418,4329,4465,850,1143,2107
"bcn92",1028,534,128,1777,1797,400,538,1031
"wapl",5186,2397,770,15847,15459,2908,3495,4654
"Cyp4d1",191,115,49,113,154,24,24,86
"CG3630",2798,1005,265,3852,3621,924,1098,1829
"mir-3641",0,0,0,0,0,0,0,0
"CG3621",1200,541,130,1884,1722,357,571,867
"Cyp4d14",188,82,38,92,32,13,12,33
"CR45479",192,99,56,147,40,22,16,21
"CR44690",401,211,83,208,190,58,97,120
"Cyp4d2",339,167,61,283,182,45,45,108
"Cyp4ae1",261,109,26,158,111,16,52,54
"pn",212,96,42,474,379,60,100,99
"Nmd3",1328,612,200,1928,1789,361,580,1018
"CG17776",407,272,72,792,793,151,240,383
"CG17777",30,50,13,34,23,2,14,12
"CG3457",330,143,47,916,796,114,206,201
"Mct1",2309,966,287,3325,3206,718,1059,1577
"CG14053",126,93,24,204,104,30,58,70
"CR43637",90,68,15,10,5,1,9,4
"CG18031",144,97,38,74,74,18,18,57
"msta",326,174,70,165,149,32,59,47
"Vinc",1128,525,158,2807,2358,472,660,1020
"CG14052",77,47,17,38,13,3,9,4
"pcx",3802,1393,584,6890,7147,1479,1477,2659
"kz",1319,496,175,1622,1492,372,522,746
"fs(1)K10",1493,526,270,2970,2640,544,726,1195
"Or2a",64,46,21,42,5,5,2,2
"crn",580,331,99,983,885,196,289,378
"CG3191",129,80,22,140,79,23,33,36
"CG3091",705,326,128,905,710,183,275,427
"CG3078",286,193,86,85,83,20,32,41
"temp",416,229,86,835,860,138,238,349
"CG3071",1091,476,160,1750,1625,348,486,825
"CG2924",4523,1900,617,12084,11872,2490,2828,3577
"CR45480",22,26,2,20,2,10,11,1
"CG2918",7563,2729,971,17489,13829,3661,3092,6465
"Vml",6228,6131,1576,20813,20939,1107,6004,10370
"CG2865",3878,1500,552,7599,6584,1411,1785,2926
"phl",1068,556,169,2097,2266,391,517,702
"CR34052",18,15,7,2,0,0,1,3
"CG14050",70,58,15,45,31,6,26,16
"CG2854",108,107,39,21,5,0,5,0
"CR33218",29,29,17,0,4,4,4,0
"Ilp6",634,243,66,543,386,122,230,337
"mRpL14",206,132,26,320,380,79,77,193
"ptr",3498,1374,438,7254,6026,1267,1660,2258
"PsGEF",1153,735,207,760,500,171,203,407
"CG12496",80,57,12,26,2,0,3,0
"CG32797",62,32,17,15,0,0,4,0
"gt",135,90,21,103,69,30,10,31
"tko",665,304,87,1354,1196,243,336,467
"boi",1015,438,194,2341,2215,386,563,673
"z",1025,471,162,2548,2434,462,640,844
"trol",10545,3766,1225,15312,12617,3370,3105,7007
"mir-4955",4,6,1,10,0,0,0,0
"Pdfr",564,324,119,519,427,121,165,249
"Vha36-3",179,85,44,125,109,28,41,72
"CG13759",113,50,10,7,6,5,14,6
"CG13760",480,282,78,969,955,185,277,439
"wds",1256,738,180,2837,2697,522,728,1247
"egh",6066,2387,772,11169,10015,2278,3177,4625
"Klp3A",1406,654,199,3567,3603,634,855,977
"Zw10",1412,922,222,3177,3403,878,984,1527
"Bzd",284,187,44,657,520,87,157,171
"CG8636",2156,902,308,3759,3824,654,1047,1571
"Tsp3A",317,168,70,557,483,97,135,186
"Seipin",496,239,88,763,683,110,230,308
"brv3",98,97,22,28,0,0,5,0
"PI4KIIIalpha",2272,973,353,4011,4470,743,950,1483
"sgg",8796,3930,1216,12181,10746,2875,3865,6724
"CR45197",0,0,0,0,0,0,0,0
"HLH3B",72,54,23,6,1,0,2,3
"CG2652",29,28,13,0,0,0,4,0
"CR44470",59,54,26,0,0,0,4,0
"per",514,310,71,463,264,59,207,336
"CG2650",74,52,28,31,10,5,3,8
"CG2658",772,433,137,1303,1292,232,309,583
"CG2662",320,213,75,1014,929,203,241,311
"Csat",428,231,75,664,640,114,117,293
"eIF2B-beta",720,477,104,902,935,231,350,767
"CG2680",293,105,42,358,211,75,87,160
"CG2681",295,167,56,177,94,22,29,99
"CG2685",591,262,102,1004,1111,219,277,376
"CG2694",865,483,144,2856,2828,439,628,753
"CG2701",654,312,125,1080,964,226,247,437
"fs(1)Yb",191,198,39,48,24,9,22,29
"fs(1)Ya",1127,651,157,2863,3281,500,631,987
"CG2709",51,43,9,16,12,1,5,11
"dwg",330,248,81,650,641,99,220,253
"ttm50",1085,424,116,1898,1918,356,474,750
"CG2712",264,121,51,328,452,77,110,154
"crm",1957,992,324,6556,6061,1300,1453,1963
"Syx4",308,155,71,267,187,37,88,156
"kirre",662,455,120,465,280,101,87,172
"CR43494",41,25,11,0,0,0,3,0
"CG32795",1509,647,244,2715,2586,564,750,1305
"w",226,169,46,205,93,29,75,82
"CG12498",39,44,21,2,0,4,5,1
"CG14416",107,40,9,0,9,0,5,0
"CG14417",45,32,9,27,1,0,0,0
"CG14418",130,62,4,17,5,0,15,3
"CG14419",426,227,82,286,361,143,208,338
"CG3526",63,58,26,20,5,1,5,1
"CG3588",384,170,53,166,220,75,89,120
"CG14424",36,45,23,4,14,0,3,6
"CG32793",183,129,26,1,2,2,7,2
"CG3592",63,33,16,12,0,0,1,0
"CG3598",54,41,20,10,1,0,0,0
"CG14420",98,47,19,23,1,0,13,3
"CG14421",55,38,8,0,16,0,0,0
"CG14422",53,42,14,0,3,0,5,2
"CG14423",41,44,12,1,2,0,4,8
"CG17959",17,23,9,0,0,0,1,0
"CG3603",191,87,24,296,226,23,77,62
"rst",670,417,147,1105,1080,203,219,250
"CG4116",85,70,20,45,19,2,12,25
"N",4409,1907,613,10768,10112,1906,2184,3141
"CG18508",1499,745,225,2283,1777,620,716,1288
"Fcp3C",770,382,132,1264,861,260,380,332
"CG3939",682,416,105,1006,1168,230,332,608
"dnc",6582,3077,864,10660,8190,2427,2369,4802
"CG14265",31,14,8,10,0,0,0,8
"ng2",15,12,0,0,0,0,0,0
"ng3",17,19,5,0,0,0,7,0
"ng1",14,7,4,5,1,0,2,0
"ng4",23,29,11,11,0,4,3,0
"Pig1",26,37,13,0,3,0,6,5
"Sgs4",41,41,30,81,18,8,6,13
"CR44886",52,8,8,27,17,4,1,0
"CG10793",80,75,25,23,4,0,7,0
"dm",16020,4774,2022,26109,16169,5323,5316,9190
"CR44999",9,15,2,0,1,6,0,0
"CG12535",392,258,112,62,36,10,44,17
"CG14269",52,41,10,0,1,0,4,0
"CG16782",39,65,9,10,2,0,0,0
"CG10801",93,73,25,62,17,2,12,5
"CG16781",70,59,14,0,2,0,2,0
"CG12206",181,170,55,248,185,18,57,115
"CG10804",404,226,93,216,87,33,86,102
"CG10802",338,164,55,381,437,101,126,247
"CG14270",375,184,71,763,888,183,221,395
"CG10803",1694,552,216,2496,2009,566,615,1025
"Gas8",160,86,27,0,6,1,12,0
"CG32791",905,516,181,538,426,93,141,162
"CG13021",66,43,16,12,10,6,3,9
"CR34335",33171,9921,4160,68363,74629,8799,17328,10194
"ppk8",134,111,39,9,2,1,10,3
"CG2875",962,323,109,1288,1529,288,427,548
"AstA-R1",211,110,74,48,30,1,26,16
"Ilp7",71,59,18,62,31,2,31,11
"Parg",650,240,116,1577,1480,283,348,404
"Mnt",10461,5372,1508,21470,18907,4664,5463,11129
"CR45102",1150,327,146,1551,1054,318,364,685
"Rala",3038,1102,398,7136,6632,1524,1595,2114
"tlk",10237,4077,1359,26657,23309,4905,5497,7897
"mir-4962",8,3,0,12,15,0,1,5
"HIP-R",2024,858,289,3108,2672,782,988,1494
"CR44117",0,0,0,0,0,0,0,0
"CR44118",0,0,0,0,0,0,0,0
"Crg-1",78,36,8,12,15,2,14,12
"HIP",2528,896,338,3033,2339,909,1112,2165
"fd3F",72,50,37,0,4,0,0,0
"ec",968,456,172,1038,685,161,204,375
"CG2901",157,126,54,28,7,4,14,2
"roX1",287,166,64,312,216,12,25,24
"yin",2887,1400,513,8262,8789,1461,1870,2690
"CG2930",2242,761,347,2660,1586,463,797,1296
"VhaAC39-1",4737,1880,607,8786,8640,1770,2194,3992
"CG15239",159,83,36,28,99,4,22,3
"CG42541",782,474,152,533,325,132,122,243
"CG2938",1359,582,188,2987,2702,576,748,831
"CG2941",398,230,88,985,889,148,198,285
"CG32783",28,31,10,0,0,0,10,0
"CG32786",0,0,0,0,0,0,0,0
"Vap-33A",10788,4433,1532,18460,16919,4360,5064,8859
"lva",5071,2096,698,11030,9393,1826,2226,3924
"CG6428",326,194,40,575,502,103,155,197
"CR45481",345,193,61,266,268,52,78,88
"CG6414",146,84,21,21,3,0,5,0
"CR43298",19,17,4,0,0,0,0,0
"CR45482",75,41,19,0,0,0,8,0
"CG43689",797,455,137,1197,989,163,243,311
"CG6379",493,333,77,949,837,137,246,268
"CG15375",63,42,14,33,22,3,6,12
"Xpac",306,151,53,614,589,164,153,245
"brn",93,66,42,145,144,13,33,31
"cib",11318,4852,1934,27573,24080,6024,8290,11212
"Nsun2",708,277,108,920,823,202,311,546
"dgt4",172,93,43,431,300,75,107,116
"Tip60",774,368,100,1616,1513,341,450,663
"tyf",12601,5249,1774,30744,29666,5808,6900,11805
"GlcAT-I",392,152,50,1026,867,150,121,214
"Fas2",2742,1192,402,3617,2968,841,980,1865
"CG43288",11,26,4,0,0,0,0,4
"CG15571",65,63,43,1118,864,153,310,389
"CG15570",1807,544,372,14641,15819,2069,3551,4789
"Femcoat",299,498,209,5413,4779,788,1386,1354
"Muc4B",1818,1301,322,7576,12053,1729,3840,6785
"CG43134",890,527,185,4098,5073,457,1005,849
"CG43135",26,1,9,10,32,1,32,9
"CG15576",49,63,12,0,0,2,2,0
"CG12691",25,25,9,11,0,0,0,0
"CG15572",115,136,30,0,0,0,6,0
"CR45483",18,38,7,0,0,2,4,0
"CG15577",13,29,6,0,0,0,0,0
"CG15578",25,22,0,0,0,0,0,0
"CG12692",75,79,32,20,0,0,8,0
"CG15579",35,13,14,0,0,0,4,3
"CR44957",97,35,14,1,1,2,1,0
"mei-9",449,294,90,949,866,135,232,209
"CG2982",1810,828,271,4920,4606,794,1230,1442
"mRpL33",848,379,145,1170,1272,309,391,793
"norpA",6018,2548,855,8884,6889,2185,2231,4242
"CG12693",103,47,30,36,0,0,1,2
"mir-982",5,8,5,0,0,0,0,0
"mir-303",0,4,2,0,0,0,0,0
"CG3626",751,408,87,1062,1058,175,248,434
"mir-983-2",0,0,0,0,0,0,0,0
"mir-983-1",0,0,0,0,0,0,0,0
"mir-984",0,6,3,0,0,0,3,0
"CR43614",72,61,16,8,0,0,7,0
"CR45484",13,29,6,0,4,0,5,0
"CG12688",42,39,24,5,3,0,3,2
"CR32773",121,80,35,63,69,15,11,17
"bi",545,364,112,552,285,82,123,171
"CG3556",579,299,66,591,343,119,170,325
"rb",1768,782,270,3425,3187,738,760,1204
"CHOp24",1031,351,182,1806,1385,341,374,651
"CG3568",210,100,47,191,131,27,53,94
"Usf",1275,581,139,2782,2421,503,558,916
"CG15912",67,42,19,26,30,6,19,2
"CG11436",308,134,47,443,432,105,136,205
"CG3527",356,199,41,533,536,152,175,286
"CG11444",1642,684,246,2869,2644,540,870,1464
"CG3546",175,90,43,37,0,0,25,2
"CG12684",23,54,16,0,4,0,4,4
"peb",2604,947,411,3402,2739,699,1016,2214
"CG12184",100,97,31,15,25,10,9,5
"CG12179",1098,520,187,2596,2777,546,706,806
"pon",244,238,46,784,553,197,135,144
"CG3081",97,76,24,9,0,0,9,3
"CG3062",17,37,5,10,0,0,0,0
"HLH4C",90,70,28,14,1,0,6,2
"mRpL30",782,402,117,1125,1026,269,355,678
"Torsin",539,231,111,1368,1095,229,239,327
"Cbp80",1218,579,223,2724,2751,483,670,877
"CG15473",200,124,59,31,4,1,18,3
"CG3009",202,154,36,94,54,10,39,55
"rap",1672,758,286,3988,3985,787,1001,1424
"Pp2C1",4506,1871,647,11472,10471,2375,2644,3199
"ctp",11751,4690,1572,25519,21746,5409,5869,8958
"l(1)G0334",3959,1652,565,8325,7449,1426,2006,3535
"CG7024",90,76,30,15,11,4,8,10
"Proc-R",444,231,82,403,297,79,108,186
"CG15472",67,59,10,11,0,0,2,0
"Bteb2",50,41,6,10,3,1,3,1
"CR45515",12,7,6,3,0,0,0,0
"CG2871",62,24,4,16,0,0,6,0
"CG15471",28,25,6,12,0,0,1,0
"CG6978",84,74,35,1,0,0,8,0
"CG2861",414,228,82,80,42,19,44,46
"CR45516",8,9,0,0,4,0,0,0
"CG12682",47,37,18,0,2,0,0,0
"CG42594",262,179,68,91,66,24,39,48
"CR43495",24,3,7,0,0,0,2,0
"CG12681",82,46,24,22,6,6,12,3
"CG6927",875,427,158,3171,2490,409,572,568
"CG32772",1650,752,268,3564,3326,672,934,1177
"CG4041",426,227,65,736,694,148,147,211
"CG6903",464,250,88,757,801,149,192,219
"CG44774",4441,2141,644,11641,10994,2219,2708,3806
"Ptp4E",2497,1069,356,4765,4187,934,989,1527
"CR44833",110,76,11,159,122,20,43,20
"SIP3",69,71,20,49,19,6,5,15
"CG12680",40,39,10,0,0,0,0,0
"ovo",6097,2829,926,19002,16651,3328,3515,4782
"CG32767",8709,3689,1178,19680,17473,3824,4278,7315
"rg",123,47,17,145,152,56,40,47
"CG15465",0,0,0,0,0,0,0,0
"Rpn13R",110,36,8,53,26,2,15,11
"CG5062",116,44,21,21,3,3,14,0
"CR44834",28,14,5,0,0,0,1,0
"CG42749",104,115,51,21,6,0,7,3
"CG3323",190,114,32,38,38,14,4,27
"CG17764",58,64,21,40,13,5,15,9
"Cdk7",908,406,118,1959,2213,427,451,621
"snf",544,256,83,1092,1173,171,275,380
"TrxT",103,31,20,26,7,1,3,0
"dhd",13604,6808,1828,35468,40938,7084,9159,11926
"CG4198",105,78,27,105,53,13,9,25
"CG15930",93,124,31,46,13,6,20,5
"Sas10",920,349,103,1540,1260,277,358,687
"Rnp4F",2043,884,363,3680,3734,793,1200,1801
"Mcm3",834,572,142,2710,2341,532,588,726
"CG3309",358,210,43,692,657,117,154,212
"XRCC1",622,312,94,1161,1020,228,240,423
"CanB",239,82,52,80,69,27,49,47
"SK",1908,745,267,1649,1214,357,481,1046
"NAAT1",519,284,115,427,399,72,165,485
"spoon",12517,5141,1655,23560,22273,4885,5598,9463
"CG4165",2122,937,310,4789,4999,783,1113,1397
"CG16756",370,103,63,271,387,141,109,170
"CR45517",158,82,14,362,338,91,65,105
"CG15784",1529,449,145,2196,1529,400,575,1025
"CR44471",23,25,6,0,6,1,0,3
"SPR",407,183,81,242,202,42,120,182
"frma",768,318,115,782,523,174,248,486
"CG32762",47,63,16,0,0,0,4,0
"CG4151",41,63,6,12,0,0,4,0
"CR45519",50,14,12,0,0,0,5,6
"CG12730",261,88,72,273,174,24,58,124
"CR45518",30,17,10,17,1,0,0,2
"snoRNA:Psi28S-3342",634,231,135,1452,813,193,321,414
"Vsx2",121,102,28,26,10,3,8,28
"Vsx1",166,136,36,25,20,0,11,9
"CG34435",57,68,21,13,0,0,0,0
"CG34434",120,99,27,22,0,0,22,2
"RhoGAP5A",404,309,70,769,848,150,194,351
"Mlc-c",2843,1052,361,5398,4780,1045,1372,2299
"mir-3645",0,0,1,23,1,0,0,0
"l(1)G0045",297,235,60,611,496,105,138,171
"CG42492",1638,614,209,1521,1195,351,394,767
"CG42265",725,394,106,340,328,73,83,177
"CR45520",100,90,52,2,1,0,7,1
"Sirt4",233,128,27,295,255,63,84,100
"CG4119",2015,815,305,4554,4592,823,1108,1622
"Rab18",331,155,59,641,447,102,134,210
"RpL35",7067,3284,857,11275,10712,2502,3295,4998
"Tre1",322,172,47,582,565,100,173,168
"Gr5a",76,96,19,0,3,0,3,2
"CR44958",51,32,14,0,5,0,1,0
"CG42449",60,92,18,11,2,0,5,4
"CG3160",734,373,106,1132,1223,231,298,475
"CR45525",65,42,17,72,33,4,11,12
"cv",774,322,118,1154,939,212,261,472
"CG3149",205,104,33,170,170,49,47,92
"CR42794",38,10,2,12,3,3,3,10
"CG4096",355,240,46,135,79,28,64,53
"CG33080",706,344,119,617,569,125,226,356
"CG32758",1823,896,274,3511,3117,687,860,1350
"CG15773",133,68,29,156,84,15,42,40
"IntS6",2985,1293,497,7352,5819,1289,1626,2229
"CG4078",725,427,129,1528,1545,342,396,523
"CG15772",111,118,29,45,50,7,17,35
"lin-52",434,208,64,683,810,168,223,235
"CR45528",141,61,35,65,19,6,19,24
"CG15771",4799,2162,726,11186,9503,2334,2918,4619
"MAPk-Ak2",1596,706,211,3166,3353,685,855,1292
"CG42699",533,286,105,1050,864,149,247,320
"CG3097",413,193,44,379,162,31,92,177
"CG42264",104,88,35,4,0,0,7,0
"CG3108",185,174,42,19,216,0,13,0
"CG15767",61,29,19,6,0,4,6,0
"mir-4963",0,0,0,0,0,0,0,0
"CR44832",63,31,10,36,11,14,13,17
"CG12239",348,192,49,351,251,86,124,153
"Cpr5C",34,21,5,0,0,0,0,0
"Prosbeta2R1",49,26,14,6,0,0,1,0
"CR45529",41,25,4,1,2,0,7,0
"CG44329",60,47,6,0,0,0,0,0
"CG15766",104,59,30,52,41,26,27,14
"CG15765",1009,489,193,1057,848,277,294,704
"CR43264",114,49,37,127,131,30,35,130
"CG12729",27,28,2,13,0,0,0,0
"CG43136",35,35,4,0,0,0,0,0
"CG43137",27,43,10,0,0,0,0,0
"CG15764",55,48,20,0,0,0,6,0
"GAA1",739,325,94,1560,1583,307,408,399
"mof",687,292,114,1930,1902,318,357,446
"CG3016",485,320,92,1289,1167,198,255,297
"CG16721",939,426,129,4062,3386,753,396,540
"CR45668",173,82,37,61,59,11,18,13
"Act5C",55980,25567,8022,107744,104550,23198,31534,53226
"CG4020",559,292,89,759,553,153,249,515
"CG12236",2092,922,301,4611,4507,905,1146,1634
"CG3011",1505,659,279,3070,3171,636,811,1308
"CR44108",15,6,3,0,2,1,2,0
"CG3726",768,344,81,1264,1227,307,358,465
"CG12728",258,155,73,392,418,58,76,121
"CG32756",241,148,55,289,355,47,97,110
"CG6041",75,36,20,64,67,12,14,65
"CG32755",93,26,29,23,6,0,4,0
"CG6048",520,128,58,340,278,58,136,386
"CG6067",841,268,122,484,343,153,250,410
"fs(1)M3",4074,1446,508,7983,7741,1352,1567,2666
"Grip",428,252,111,198,277,50,99,123
"CG5966",879,396,116,4008,3576,949,358,502
"CG4766",132,145,42,30,37,9,23,23
"CR44498",90,80,27,14,1,0,2,6
"mab-21",198,138,27,110,73,5,26,36
"CR44499",30,19,4,18,0,0,12,0
"rux",433,180,84,1058,812,182,230,220
"CG5941",577,351,114,999,1044,218,275,411
"CG5937",539,430,138,332,251,78,101,184
"CG5921",489,363,144,595,455,67,157,375
"CG43115",34,22,10,27,1,0,0,0
"CG5928",50,36,13,0,13,1,7,8
"Tsp5D",255,136,45,87,61,22,52,78
"CG4666",1056,367,145,1470,1054,279,433,758
"CG4660",132,86,20,84,51,16,9,69
"raptor",1775,758,289,4402,4683,711,957,1247
"Mipp2",163,81,20,229,288,56,58,82
"CR44959",27,30,5,9,2,1,5,4
"Nep1",607,305,101,372,309,78,141,188
"Ca-alpha1T",2326,1034,307,2328,1560,485,507,1090
"CG32750",272,126,54,268,144,30,86,155
"CG32751",217,200,81,300,92,44,59,129
"CG43090",800,300,89,507,912,166,235,371
"vanin-like",619,300,100,433,324,74,144,308
"Btd",89,70,26,25,0,0,7,0
"Efr",298,154,78,346,380,84,126,163
"sqh",1855,824,288,3023,3522,715,1056,1568
"CG14446",3357,1347,482,7263,5854,1514,1313,2113
"CG14445",192,110,32,83,106,25,51,69
"Rbcn-3A",5610,2268,733,11657,11039,2009,2577,4148
"Spx",837,416,138,2543,2115,459,433,645
"schlank",3064,1289,350,5276,4991,1186,1480,2654
"CG3781",144,139,31,346,260,55,78,90
"Spt6",3376,1314,419,7431,6913,1293,1500,2365
"CG3566",477,253,97,456,577,86,183,317
"Ubi-p5E",3489,1673,579,13767,16374,2307,2499,3373
"CR45530",45,9,12,28,44,6,3,5
"CG11700",141,73,16,122,72,2,9,8
"Top3beta",895,415,120,1859,1635,292,391,592
"wuho",234,103,40,565,390,51,102,151
"Rpt4",1110,496,144,2226,2401,400,572,741
"CG15896",311,234,67,338,306,65,163,203
"CG15892",48,47,24,16,5,4,2,7
"CG15891",205,134,39,302,313,67,93,135
"CG3815",785,418,97,1695,1668,283,402,600
"CG12219",420,225,45,1023,948,218,227,373
"CG3823",151,99,28,91,79,7,34,29
"CG15894",528,390,129,203,197,39,92,95
"CG42240",6202,2652,888,19282,17149,4150,3343,5452
"CG3842",429,230,86,837,657,169,188,231
"CG3847",1263,613,202,3249,2993,639,774,996
"CG3446",2381,1236,361,3333,2808,881,1226,2370
"kdn",12889,4772,1522,15094,11797,4202,4873,9211
"swa",3037,1224,454,8733,7735,1590,2048,2796
"Marf",6086,2244,744,9685,8519,1937,2585,4804
"CR44816",78,23,12,61,26,6,18,15
"PpV",1163,462,185,2064,2338,461,637,805
"CG33664",0,2,0,0,0,0,0,0
"CG33669",3,0,0,3,0,0,0,0
"CG33668",0,0,0,0,0,0,0,0
"CG42340",585,383,105,374,180,53,107,172
"CG33667",6,4,0,0,0,2,3,0
"CG33666",0,5,0,0,0,0,0,0
"CG33665",0,0,0,0,0,0,0,0
"CG3918",1031,531,169,2088,2138,460,520,819
"CG3342",372,196,81,681,535,104,190,240
"Spat",313,190,51,473,371,104,132,179
"RpL7A",11873,5399,1487,22377,21866,4225,5967,9138
"snoRNA:Or-CD10",0,13,0,9,8,0,1,10
"dx",1939,1148,368,6822,6446,1354,1347,2055
"CG34417",14053,5257,1767,21570,18025,5089,5951,10549
"CG17717",61,50,6,24,11,6,4,3
"Pat1",1382,526,228,1803,1866,343,539,836
"CR43832",24,42,7,13,0,2,0,0
"APC7",949,414,134,2469,2447,421,531,593
"pigs",2463,888,321,4080,2905,779,827,1617
"CG14443",127,89,31,76,35,5,12,19
"CR44817",54,20,7,29,5,0,3,10
"CG3226",850,499,142,3268,3112,732,517,640
"l(1)G0148",3768,1721,478,9602,7458,1993,2068,3310
"CG3224",401,145,30,665,401,104,191,203
"Ctr1A",434,247,85,766,689,108,203,264
"CG3198",2464,1162,346,3370,2874,857,1016,1723
"Mcm6",1057,555,162,2773,3207,565,630,702
"CG3192",1111,541,122,1635,1472,307,491,789
"l(1)G0255",1758,726,242,3144,3360,672,831,1332
"CG4095",88,55,23,11,29,3,4,3
"Pink1",3698,1836,486,6668,5786,1231,1878,3420
"CG44303",80,32,16,140,98,17,45,28
"CG3184",66,72,9,53,78,34,41,15
"CG14442",5184,2555,716,13483,11613,2551,3029,4674
"CG14440",1341,545,187,2971,2644,577,712,1039
"CG14441",3227,1482,394,4763,4326,934,1048,2049
"CG3168",12346,4805,1524,18969,15383,3326,5550,9966
"CR43461",81,33,23,57,72,19,29,37
"RpL17",11816,5683,1433,21342,18272,4484,5700,9074
"snoRNA:Psi28S-3436b",16,8,3,12,2,2,5,14
"snoRNA:Psi28S-3436a",75,28,8,111,64,17,24,41
"snoRNA:Psi28S-1060",232,112,44,609,342,118,101,136
"snoRNA:Psi28S-1232",15,4,8,0,1,2,23,5
"CR44895",54,23,12,9,5,0,13,1
"CR44964",95,57,13,14,6,1,7,2
"CG14439",317,192,69,196,148,40,77,141
"CG14438",4682,2088,746,11906,10330,2238,2426,3601
"CR43496",121,62,10,349,190,48,56,83
"COQ7",398,200,45,523,552,100,208,279
"shf",434,207,72,445,239,158,123,180
"C3G",3139,1371,447,4490,4216,1076,1285,2225
"pod1",3615,1630,474,7610,6828,1645,1784,2802
"iav",253,241,54,49,79,19,12,11
"Nf-YC",1561,844,213,4167,4221,823,1007,1442
"xit",167,116,37,156,227,27,51,65
"Atx-1",62,43,18,19,5,0,9,0
"nonC",1980,884,336,2865,2560,497,587,1247
"CG12796",46,41,19,0,1,0,6,0
"CG14435",2160,840,257,3856,3518,778,914,1566
"CG4557",622,345,105,1168,1144,175,291,590
"Cht11",163,130,35,341,290,61,100,86
"CG4558",421,202,69,801,838,177,189,305
"CG14434",326,212,45,457,463,86,119,173
"CR45531",216,106,62,53,12,7,16,4
"CG43736",6196,2916,825,15095,13850,3108,3139,5025
"CG14431",612,419,124,233,149,75,72,124
"CG32732",812,363,126,1758,1976,390,417,595
"CG4586",431,319,91,1038,1231,184,327,388
"CG3040",207,85,24,360,346,55,61,99
"ogre",2620,1042,342,3607,2932,718,1008,1908
"CR44084",10,4,7,0,0,0,0,0
"bou",557,245,97,766,609,127,274,447
"Inx7",371,229,42,450,318,106,110,258
"CR43837",135,90,30,119,82,13,31,26
"Inx2",5628,1917,764,10056,8278,1950,2135,3949
"cm",131,124,43,289,264,38,64,82
"CG32736",0,0,0,0,0,0,0,0
"CG42308",0,0,0,0,0,0,0,0
"CG3032",92,80,21,158,131,12,19,42
"CG4593",713,344,114,1222,1282,212,293,471
"CG12541",274,164,71,85,76,29,43,54
"CG14427",66,36,21,14,3,0,0,0
"nullo",46,32,7,0,0,0,4,0
"CG4607",1281,438,144,981,655,168,476,709
"Sxl",10454,4007,1349,20320,15743,4292,4142,7550
"mir-4956",0,0,0,0,0,0,0,0
"CG4615",316,187,50,439,681,96,172,164
"CG4617",315,157,66,757,684,145,140,197
"CG8300",393,199,61,798,716,142,230,233
"fz4",1017,462,169,2399,2273,369,502,686
"CR45532",14,8,9,0,0,0,0,0
"CG9650",704,362,171,1140,1264,248,264,391
"CR32730",98,43,14,20,2,0,6,0
"CR44357",117,74,43,49,26,0,9,3
"CG1958",69,56,8,21,0,0,2,0
"CG1677",3441,1606,499,9060,8877,1697,2370,3248
"CG2059",338,176,83,524,612,100,143,202
"unc-119",2330,1217,421,5824,5287,1147,1458,2275
"brk",889,272,108,866,505,169,417,747
"Atg5",654,245,80,1252,973,223,331,419
"Dok",1997,832,356,6074,5342,1044,1156,1520
"CG18155",96,121,35,66,33,9,5,17
"CG42780",217,64,27,138,91,20,36,122
"CBP",1271,625,178,3734,3573,580,762,1034
"CG15034",101,49,12,26,24,2,7,8
"CG1999",37,31,17,20,0,0,1,0
"CheA7a",165,94,26,100,73,17,36,89
"CG42781",20,19,3,0,0,0,0,0
"CG15035",77,50,16,25,5,0,6,2
"CG32727",40,21,14,0,0,0,0,0
"CG42246",77,33,9,10,29,8,17,40
"CG42704",1259,460,159,1960,1334,280,522,699
"CG42705",763,456,131,1001,880,164,306,476
"CG34337",29,14,11,0,0,0,1,0
"CG9657",276,142,52,48,6,0,26,22
"CG15036",28,19,3,17,3,1,14,3
"CG32726",200,100,31,198,195,28,71,116
"CR45533",163,193,60,27,13,5,20,3
"CR43199",64,60,17,29,4,0,3,0
"CG11368",283,119,47,475,367,61,94,150
"CG43198",37,16,1,0,3,1,7,0
"CR44500",40,8,12,19,3,0,0,0
